task_id,category,config,config_label,reference_kernel_id,seed,run_id,generated_code_len,gen_latency_ms,check_ms,gen_pipeline_ms,baseline_check_ms,ast_ok,lex_ok,compile_ok,triton_import_ok,compile_error,levels_passed,retries,speedup_proxy,gpu_efficiency_proxy,backend,gen_error
gen_0000,matmul,solo_llama,Llama-3.1-8B (local),k_0000,42,0,1784,52124.76787499327,38.306750007905066,52163.07462500117,30.562625004677102,True,True,True,False,"triton_import:Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
    import triton
ModuleNotFoundError: No module named 'triton'
","L1,L2,L3",0,0.0005859053597662892,0.01918473771237162,ollama,
gen_0001,flash_attention,solo_llama,Llama-3.1-8B (local),k_0001,43,0,1416,57401.3795840001,37.423000001581386,57438.80258400168,29.333333994145505,True,True,True,False,"triton_import:Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
    import triton
ModuleNotFoundError: No module named 'triton'
","L1,L2,L3",0,0.0005106884662375546,0.01742118407688475,ollama,
gen_0002,reduction,solo_llama,Llama-3.1-8B (local),k_0002,44,0,1243,66661.88420800609,43.660499999532476,66705.54470800562,30.0896249973448,True,True,False,False,"triton_surface; triton_import:Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
    import triton
ModuleNotFoundError: No module named 'triton'
","L1,L2",0,,0.0,ollama,
gen_0003,softmax,solo_llama,Llama-3.1-8B (local),k_0003,45,0,1006,61056.65545800002,37.923374999081716,61094.578832999105,30.697458001668565,False,True,False,False,"ast:parameter without a default follows parameter with a default (<unknown>, line 9); triton_surface; triton_import:Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
    import triton
ModuleNotFoundError: No module named 'triton'
",L2,0,,0.0,ollama,
gen_0004,elementwise,solo_llama,Llama-3.1-8B (local),k_0004,46,0,456,54330.86387500225,39.003792000585236,54369.867667002836,30.23725000093691,True,True,True,False,"triton_import:Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
    import triton
ModuleNotFoundError: No module named 'triton'
","L1,L2,L3",0,0.0005561398491188153,0.018405744519370732,ollama,
gen_0005,flash_attention,solo_llama,Llama-3.1-8B (local),k_0005,47,0,1416,66721.6166670114,36.53183300048113,66758.14850001188,30.033791990717873,True,True,True,False,"triton_import:Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
    import triton
ModuleNotFoundError: No module named 'triton'
","L1,L2,L3",0,0.0004498895290769265,0.014987646432350633,ollama,
gen_0006,reduction,solo_llama,Llama-3.1-8B (local),k_0006,48,0,1243,65871.52366699593,43.26716701325495,65914.79083400918,30.107833008514717,True,True,False,False,"triton_surface; triton_import:Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
    import triton
ModuleNotFoundError: No module named 'triton'
","L1,L2",0,,0.0,ollama,
gen_0007,reduction,solo_llama,Llama-3.1-8B (local),k_0007,49,0,1243,65915.12679199514,44.280000001890585,65959.40679199703,29.582041999674402,True,True,False,False,"triton_surface; triton_import:Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
    import triton
ModuleNotFoundError: No module named 'triton'
","L1,L2",0,,0.0,ollama,
gen_0008,reduction,solo_llama,Llama-3.1-8B (local),k_0008,50,0,1243,50720.17429200059,42.303292008000426,50762.47758400859,30.244832989410497,True,True,False,False,"triton_surface; triton_import:Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
    import triton
ModuleNotFoundError: No module named 'triton'
","L1,L2",0,,0.0,ollama,
gen_0009,matmul,solo_llama,Llama-3.1-8B (local),k_0009,51,0,1784,61400.05462500267,42.35841700574383,61442.41304200841,30.37620900431648,True,True,True,False,"triton_import:Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
    import triton
ModuleNotFoundError: No module named 'triton'
","L1,L2,L3",0,0.0004943850265702968,0.01628663046160859,ollama,
